Drug Id, Name, Synonyms, Targets, Target pathway, PubCHEM, Datasets, number of cell lines, Screening site
"1091","BMS-536924","BMS 536924","IGF1R, IR","IGF1R signaling","10390396","GDSC1","909","SANGER"
"1425","BPTES","SN1041594574","GLS","Other","","GDSC1","916","SANGER"
"1037","BX795","BX-795","TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC","Other, kinases","10077147","GDSC1","932","SANGER"
"1502","Bicalutamide","ICI-176334, Casodex, Cosudex, ICI 176334","AR","Hormone-related","2375","GDSC1","864","SANGER"
"1392","Bleomycin (10 uM)","","dsDNA break induction","DNA replication","","GDSC1","918","SANGER"
"1378","Bleomycin (50 uM)","","dsDNA break induction","DNA replication","5460769","GDSC1","921","SANGER"
"1019","Bosutinib","SKI-606, Bosulif","SRC, ABL, TEC","Other, kinases","5328940","GDSC1","932","SANGER"
"1170","CCT-018159","CCT018159, CCT 018159","HSP90","Protein stability and degradation","5327091","GDSC1","921","SANGER"
"1067","CCT007093","","PPM1D","Cell cycle","2314623","GDSC1","922","SANGER"
"1187","CCT245232","","HSF1","Unclassified","","GDSC1","926","SANGER"
"1188","CCT245467","","HSF1","Unclassified","","GDSC1","925","SANGER"
"1241","CHIR-99021","CT 99021, CHIR99021, CHIR 99021","GSK3A, GSK3B","WNT signaling","9956119","GDSC1","898","SANGER"
"1015","CI-1040","CI 1040, PD-18435, PD-184352, 212631-79-3","MEK1, MEK2","ERK MAPK signaling","6918454","GDSC1","917","SANGER"
"1071","CRT0105446","","mTOR, LCK","PI3K/MTOR signaling","","GDSC1","923","SANGER"
"1070","CRT0105950","","JNK1, JNK2, JNK3","JNK and p38 signaling","","GDSC1","926","SANGER"
"1183","CRT0160829","","CDC7","DNA replication","","GDSC1","926","SANGER"
"1136","Capivasertib","AZ5363","AKT","PI3K/MTOR signaling","","GDSC1","924","SANGER"
"1114","Cetuximab","Erbitux, IMC-C225, C225, IMC-225, L01XC06","EGFR","EGFR signaling","85668777","GDSC1","862","SANGER"
"1496","Cisplatin","Cisplatin","DNA crosslinker","DNA replication","","GDSC1","919","SANGER"
"1005","Cisplatin","cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP","DNA crosslinker","DNA replication","84691","GDSC1","934","SANGER"
"1006","Cytarabine","Ara-Cytidine, Arabinosyl Cytosine, U-19920","Antimetabolite","Other","6253","GDSC1","923","SANGER"
"1373","Dabrafenib","GSK2118436, Tafinlar","BRAF","ERK MAPK signaling","44462760","GDSC1","859","SANGER"
"1057","Dactolisib","NVP-BEZ235, BEZ235","PI3K (class 1), MTORC1, MTORC2","PI3K/MTOR signaling","11977753","GDSC1","918","SANGER"
"1248","Daporinad","APO866,  FK866, FK866","NAMPT","Metabolism","6914657","GDSC1","877","SANGER"
"1007","Docetaxel","RP-56976, Taxotere","Microtubule stabiliser","Mitosis","148124","GDSC1","933","SANGER"
"1042","Doramapimod","BIRB-796, BIRB 796","p38, JNK2","JNK and p38 signaling","156422","GDSC1","913","SANGER"
"1386","Doxorubicin","","Anthracycline","DNA replication","","GDSC1","922","SANGER"
"1407","Dyrk1b_0191","SN1008982787","DYRK1B","Other, kinases","","GDSC1","918","SANGER"
"1069","EHT-1864","EHT 1864","RAC1, RAC2, RAC3","Cytoskeleton","9938202","GDSC1","927","SANGER"
"1031","Elesclomol","STA-4783","HSP90","Protein stability and degradation","300471","GDSC1","921","SANGER"
"1413","EphB4_9721","SN1076287848","EPHB4","RTK signaling","","GDSC1","915","SANGER"
"1419","FEN1_3940","SN1106019609","FEN1","Genome integrity","","GDSC1","912","SANGER"
"1421","FGFR_0939","SN1043317881","FGFR4","RTK signaling","","GDSC1","919","SANGER"
"1422","FGFR_3831","SN1037992934","FGFR1, FGFR2, FGFR3, FGFR4","RTK signaling","","GDSC1","917","SANGER"
"1128","FS106","","CHEK1","Cell cycle","","GDSC1","925","SANGER"
"1186","FS112","","KS6B1 (p70S6K)","PI3K/MTOR signaling","","GDSC1","925","SANGER"
"1198","FY012","","","Unclassified","","GDSC1","914","SANGER"
"1195","FY026","[(para-cymene)osmium(N,N-dimethylphenlyazopyridine)(iodide)]hexafluorophophate","","Unclassified","","GDSC1","915","SANGER"
"1196","FY069","[(biphenyl)osmium(5-fluoro-phenlyazopyridine)(iodide)]hexafluorophophate","","Unclassified","","GDSC1","910","SANGER"
"1414","Fulvestrant","SN0117217688","ESR1","Hormone-related","","GDSC1","915","SANGER"
"1254","GSK-J4","","KDM6B","Chromatin histone methylation","","GDSC1","908","SANGER"
"1192","GSK269962A","GSK 269962A","ROCK1, ROCK2","Cytoskeleton","16095342","GDSC1","909","SANGER"
"1023","GW441756","GW 441756","NTRK1","RTK signaling","9943465","GDSC1","930","SANGER"
"1010","Gefitinib","ZD-1839, Iressa","EGFR","EGFR signaling","123631","GDSC1","927","SANGER"
"1393","Gemcitabine","","Pyrimidine antimetabolite","DNA replication","","GDSC1","920","SANGER"
"1142","HG-5-113-01","","AURKA","Mitosis","none","GDSC1","491","SANGER"
"1143","HG-5-88-01","","TAK1, M4K2","Other, kinases","none","GDSC1","490","SANGER"
"1204","HG-6-71-01","","DDR1, DDR2, SRC","Other, kinases","","GDSC1","131","SANGER"
"1232","I-BET-151","GSK12100151A","BRD2, BRD3, BRD4","Chromatin other","","GDSC1","899","SANGER"
"1531","I-CBP112","","EP300, CBP","Chromatin histone acetylation","","GDSC1","830","SANGER"
"1428","IAP_5620","SN1043546339","IAP","Other","","GDSC1","910","SANGER"
"1429","IAP_7638","SN1043547481","IAP","Other","","GDSC1","909","SANGER"
"1266","ICL1100013","","N-myristoyltransferase 1/2","Other","","GDSC1","901","SANGER"
"1430","IGFR_3801","SN1056768819","IGFR1","IGF1R signaling","","GDSC1","915","SANGER"
"1230","IOX2","IOX-2, IOX 2, AK176060","EGLN1","Other","54685215","GDSC1","913","SANGER"
"1433","JAK1_3715","SN1042605297","JAK1","Other, kinases","","GDSC1","920","SANGER"
"1434","JAK3_7406","SN1014281280","JAK3","Other, kinases","","GDSC1","918","SANGER"
"1043","JNK Inhibitor VIII","","JNK","JNK and p38 signaling","11624601","GDSC1","929","SANGER"
"1205","JNK-9L","","BAZ2A, BAZ2B","","","GDSC1","131","SANGER"
"1218","JQ1","JQ-1, (+)-JQ-1","BRD2, BRD3, BRD4, BRDT","Chromatin other","46907787","GDSC1","898","SANGER"
"1030","KU-55933","KU55933","ATM","Genome integrity","5278396","GDSC1","931","SANGER"
"1185","KU-60019","","ATM","Genome integrity","","GDSC1","925","SANGER"
"1020","Lenalidomide","CDC-501, CC-5013, Revlimid","CRBN","Protein stability and degradation","216326","GDSC1","933","SANGER"
"1024","Lestaurtinib","CEP-701, SP-924, SPM-924, A-154475, KT-555","FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases","126565","GDSC1","929","SANGER"
"1436","MCT1_6447","SN0177231247","MCT1","Cell cycle","","GDSC1","897","SANGER"
"1437","MCT4_1422","SN1043999849","MCT4","Other","","GDSC1","918","SANGER"
"1053","MK-2206","MK 2206, MK2206","AKT1, AKT2","PI3K/MTOR signaling","46930998","GDSC1","888","SANGER"
"1008","Methotrexate","Abitrexate, Amethopterin, Rheumatrex, Trexall, Folex","Antimetabolite","DNA replication","126941","GDSC1","933","SANGER"
"1048","Mirin","","MRE11","Genome integrity","none","GDSC1","846","SANGER"
"1029","Motesanib","AMG-706, AMG 706, AMG706","VEGFR, RET, KIT, PDGFR","RTK signaling","11667893","GDSC1","927","SANGER"
"1251","N22899-6-C1","","Peptidyl arginine deaminase (PAD)","Unclassified","","GDSC1","913","SANGER"
"1252","N23918-95-7","","JMJ histone demethylase","Chromatin histone methylation","","GDSC1","913","SANGER"
"1253","N24798-49-A1","","JMJ histone demethylase","Chromatin histone methylation","","GDSC1","908","SANGER"
"1167","NG-25","","TAK1","Unclassified","","GDSC1","96","SANGER"
"1038","NU7441","KU-57788, NU-7432, NU-7741","DNAPK","Genome integrity","11327430","GDSC1","926","SANGER"
"1011","Navitoclax","ABT-263, ABT263, ABT 263","BCL2, BCL-XL, BCL-W","Apoptosis regulation","24978538","GDSC1","928","SANGER"
"1013","Nilotinib","Tasigna, AMN 107","ABL","ABL signaling","644241","GDSC1","933","SANGER"
"1047","Nutlin-3a (-)","","MDM2","p53 pathway","11433190","GDSC1","933","SANGER"
"1017","Olaparib","AZD2281, KU0059436,  Lynparza","PARP1, PARP2","Genome integrity","23725625","GDSC1","932","SANGER"
"1495","Olaparib","AZD2281, KU0059436,  Lynparza","PARP1, PARP2","Genome integrity","23725625","GDSC1","895","SANGER"
"1459","PARP_0108","SN1044053371","PARP1, PARP2, PARP6","Genome integrity","","GDSC1","918","SANGER"
"1460","PARP_9482","SN1031920820","PARP1, PARP2, PARP5a","Genome integrity","","GDSC1","915","SANGER"
"1458","PARP_9495","SN1024601395","PARP1, PARP2, PARP7","Genome integrity","","GDSC1","911","SANGER"
"1060","PD0325901","PD-0325901, PD 0325901","MEK1, MEK2","ERK MAPK signaling","9826528","GDSC1","918","SANGER"
"1049","PD173074","PD-173074, PD 173074","FGFR1, FGFR2, FGFR3","RTK signaling","1401","GDSC1","932","SANGER"
"1129","PF-4708671","PF 4708671, PF4708671","S6K1","PI3K/MTOR signaling","51371303","GDSC1","916","SANGER"
"1219","PFI-1","","BRD4","Chromatin other","71271629","GDSC1","914","SANGER"
"1530","PFI-3","BDF00016096","PB1, SMARCA4, SMARCA2","Chromatin other","78243717","GDSC1","834","SANGER"
"1446","PI3Ka_4409","SN1037097676","PI3Kalpha, PI3Kdelta","PI3K/MTOR signaling","","GDSC1","913","SANGER"
"1451","PLK_6522","SN1077317349","PLK1, PLK2, PLK3","Cell cycle","","GDSC1","903","SANGER"
"1036","PLX-4720","PLX4720, PLX 4720","BRAF","ERK MAPK signaling","24180719","GDSC1","930","SANGER"
"1371","PLX-4720","PLX4720, PLX 4720","BRAF","ERK MAPK signaling","24180719","GDSC1","913","SANGER"
"1054","Palbociclib","PD0332991, PD-0332991, PF-00080665-73","CDK4, CDK6","Cell cycle","5330286","GDSC1","888","SANGER"
"1529","Pevonedistat","MLN4924, MLN 4924, MLN-4924","NAE","Other","16720766","GDSC1","692","SANGER"
"1058","Pictilisib","GDC-0941, GDC0941, RG-7621","PI3K (class 1)","PI3K/MTOR signaling","17755052","GDSC1","920","SANGER"
"1527","Pictilisib","GDC-0941, GDC0941, RG-7621","PI3K (class 1)","PI3K/MTOR signaling","17755052","GDSC1","868","SANGER"
"1243","Piperlongumine","Piplartine","Induces reactive oxygen species","Other","637858","GDSC1","911","SANGER"
"1166","QL-VIII-58","","MTOR, ATR","Other","none","GDSC1","493","SANGER"
"1155","QL-XII-47","","IRAK1","Other, kinases","","GDSC1","98","SANGER"
"1203","QL-XII-61","","BMX, BTK","Other, kinases","none","GDSC1","469","SANGER"
"1453","RAF_9304","SN1034259943","ARAF, BRAF, CRAF","ERK MAPK signaling","","GDSC1","918","SANGER"
"1052","RO-3306","","CDK1","Cell cycle","44450571","GDSC1","932","SANGER"
"1014","Refametinib","RDEA119, BAY-86-9766, BAY 869766","MEK1, MEK2","ERK MAPK signaling","44182295","GDSC1","913","SANGER"
"1526","Refametinib","RDEA119, BAY-86-9766, BAY 869766","MEK1, MEK2","ERK MAPK signaling","44182295","GDSC1","861","SANGER"
"1175","Rucaparib","PF-01367338, AG-014699, AG-14447, AG-14699","PARP1, PARP2","Genome integrity","9931953","GDSC1","926","SANGER"
"1025","SB216763","SB-216763, SB 216763","GSK3A, GSK3B","WNT signaling","176158","GDSC1","840","SANGER"
"1194","SB505124","SB 505124, SB505124","TGFBR1, ACVR1B, ACVR1C","RTK signaling","9858940","GDSC1","911","SANGER"
"1061","SB590885","SB-590885","BRAF","ERK MAPK signaling","11316960","GDSC1","895","SANGER"
"1264","SGC0946","","DOT1L","Chromatin histone methylation","56962337","GDSC1","897","SANGER"
"1039","SL0101","SL-0101, SL 0101-1","RSK, AURKB, PIM1, PIM3","Other, kinases","10459196","GDSC1","916","SANGER"
"1494","SN-38","7-Ethyl-10-Hydroxy-Camptothecin, SN 38","TOP1","DNA replication","104842","GDSC1","938","SANGER"
"1490","SN-38","SN1095903706","TOP1","DNA replication","","GDSC1","911","SANGER"
"1062","Selumetinib","AZD6244, AZD-6244, ARRY-886","MEK1, MEK2","ERK MAPK signaling","10127622","GDSC1","880","SANGER"
"1498","Selumetinib","AZD6244, AZD-6244, ARRY-886","MEK1, MEK2","ERK MAPK signaling","10127622","GDSC1","906","SANGER"
"1133","Serdemetan","JNJ-26854165","MDM2","p53 pathway","11609586","GDSC1","924","SANGER"
"1461","TANK_1366","SN1032446568","Tankyrase 1/2 (PARP5a, PARP5b)","Genome integrity","","GDSC1","918","SANGER"
"1145","THZ-1-87","","BTK, BMX","Other, kinases","","GDSC1","99","SANGER"
"1165","THZ-2-98-01","","IRAK1","Unclassified","","GDSC1","99","SANGER"
"1464","TTK_3146","SN1080714093","TTK","Mitosis","","GDSC1","918","SANGER"
"1149","TW 37","TW37, TW-37","BCL2, BCL-XL, MCL1","Apoptosis regulation","11455910","GDSC1","925","SANGER"
"1259","Talazoparib","BMN-673, BMN 973","PARP1, PARP2","Genome integrity","44819241","GDSC1","899","SANGER"
"1199","Tamoxifen","Nolvadex, Soltamox, Zynoplex, ICI-46474, Kessar","ESR1","Hormone-related","2733526","GDSC1","911","SANGER"
"1026","Tanespimycin","17-AAG, BMS-722782","HSP90","Protein stability and degradation","6505803","GDSC1","930","SANGER"
"1375","Temozolomide","Temodar, Temodal, M-39831, SCH 52365","DNA alkylating agent","DNA replication","5394","GDSC1","897","SANGER"
"1016","Temsirolimus","CCI-779, Torisel","MTOR","PI3K/MTOR signaling","6918289","GDSC1","914","SANGER"
"1372","Trametinib","GSK1120212, Mekinist","MEK1, MEK2","ERK MAPK signaling","11707110","GDSC1","881","SANGER"
"1009","Tretinoin","ATRA, Vesanoid, Renova, Atralin, Tretin-X, Avita","Retinoic acid","Other","444795","GDSC1","923","SANGER"
"1236","UNC0638","UNC-0638, UNC 0683","G9a and GLP methyltransferases","Chromatin histone methylation","46224516","GDSC1","914","SANGER"
"1263","UNC0642","","G9A, GLP","Chromatin histone methylation","","GDSC1","884","SANGER"
"1262","UNC1215","UNC-1215","L3MBTL3","Chromatin other","57339144","GDSC1","898","SANGER"
"1028","VX-702","VX702, VX 702","p38","JNK and p38 signaling","10341154","GDSC1","927","SANGER"
"1018","Veliparib","ABT-888, ABT888, ABT 888","PARP1, PARP2","Genome integrity","11960529","GDSC1","933","SANGER"
"1004","Vinblastine","Velban","Microtubule destabiliser","Mitosis","6710780","GDSC1","930","SANGER"
"1033","Vismodegib","GDC0449, Erivedge","SMO","Other","24776445","GDSC1","935","SANGER"
"1012","Vorinostat","Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683","HDAC inhibitor Class I, IIa, IIb, IV","Chromatin histone acetylation","5311","GDSC1","933","SANGER"
"1046","Wee1 Inhibitor","681640, Wee1 Inhibitor","WEE1, CHEK1","Cell cycle","10384072","GDSC1","843","SANGER"
"1268","XAV939","NVP-XAV939, XAV-939, XAV 939","TNKS1, TNKS2","WNT signaling","2726824","GDSC1","905","SANGER"
"1157","XMD11-50","","LRRK2, ERK5","Other, kinases","","GDSC1","99","SANGER"
"1158","XMD11-85h","","LRRK2, ERK5","Other, kinases","none","GDSC1","491","SANGER"
"1164","XMD8-92","XMD 8-92","ERK5","ERK MAPK signaling","46843772","GDSC1","492","SANGER"
"1239","YK-4-279","YK 4-279","RNA helicase A","Other","44632017","GDSC1","780","SANGER"
"1161","ZG-10","","JNK1","JNK and p38 signaling","none","GDSC1","491","SANGER"
"1197","ZL049","[(diphenyltetramethylcyclopentadienyl)iridium(III)(2-phenylpyridine)(chloride)]","","Unclassified","","GDSC1","913","SANGER"
"1379","ZL109","","DNA damage","Unclassified","","GDSC1","915","SANGER"
"1050","ZM447439","ZM-447439, ZM 447439","AURKA, AURKB","Mitosis","9914412","GDSC1","933","SANGER"
"1261","rTRAIL","","TRAIL receptor agonist","Apoptosis regulation","none","GDSC1","907","SANGER"
"1202","torin2","","MTOR, ATM, ATR, DNAPK","PI3K/MTOR signaling","","GDSC1","131","SANGER"
"1824","123138","","","Unclassified","","GDSC2","717","SANGER"
"1820","123829","","","Unclassified","","GDSC2","717","SANGER"
"1836","150412","","","Unclassified","","GDSC2","717","SANGER"
"1073","5-Fluorouracil","5-FU","Antimetabolite (DNA & RNA)","Other","3385","GDSC2","968","SANGER"
"2156","5-azacytidine","","DNA methyltransferases","Other","","GDSC2","740","SANGER"
"1826","50869","","","Unclassified","","GDSC2","717","SANGER"
"1839","615590","","","Unclassified","","GDSC2","717","SANGER"
"1840","630600","","","Unclassified","","GDSC2","717","SANGER"
"1829","667880","","","Unclassified","","GDSC2","717","SANGER"
"1828","720427","","","Unclassified","","GDSC2","717","SANGER"
"1832","729189","","","Unclassified","","GDSC2","717","SANGER"
"1833","741909","","","Unclassified","","GDSC2","717","SANGER"
"1834","743380","","","Unclassified","","GDSC2","717","SANGER"
"1821","765771","","","Unclassified","","GDSC2","717","SANGER"
"1844","776928","","","Unclassified","","GDSC2","716","SANGER"
"2157","A-366","","EHMT1, EHMT2","Chromatin histone methylation","","GDSC2","741","SANGER"
"1910","ABT737","","BCL2, BCL-XL,  BCL-W, BCL-B, BFL1","Apoptosis regulation","11228183","GDSC2","957","SANGER"
"1913","AGI-5198","IDH-C35","IDH1 (R132H)","Metabolism","56645356","GDSC2","958","SANGER"
"1634","AGI-6780","AK162157","IDH2 R140Q mutant","Metabolism","71299339","GDSC2","893","SANGER"
"2039","AGK2","","BAZ2A, BAZ2B","Chromatin histone acetylation","","GDSC2","933","SANGER"
"2045","AMG-319","AMG319","PI3K (beta sparing)","PI3K/MTOR signaling","68947304","GDSC2","950","SANGER"
"2170","AT13148","","AKT1","PI3K/MTOR signaling","","GDSC2","954","SANGER"
"2109","AZ6102","","TNKS1, TNKS2","WNT signaling","91663328","GDSC2","955","SANGER"
"1250","AZ960","AZ 960, AZ-960","JAK2, JAK3","Other, kinases","25099184","GDSC2","892","SANGER"
"1449","AZD1208","SN1028350371","PIM1, PIM2, PIM3","Other, kinases","","GDSC2","716","SANGER"
"1463","AZD1332","SN1061387896","NTRK1, NTRK2, NTRK3","RTK signaling","","GDSC2","717","SANGER"
"1441","AZD2014","SN1103949359","mTORC1, mTORC2","PI3K/MTOR signaling","","GDSC2","717","SANGER"
"1915","AZD3759","","EGFR","EGFR signaling","78209992","GDSC2","966","SANGER"
"1786","AZD4547","1035270-39-3","FGFR1, FGFR2, FGFR3","RTK signaling","51039095","GDSC2","959","SANGER"
"1706","AZD5153","SN1045566955, AZD5153","BRD4","Chromatin other","","GDSC2","717","SANGER"
"1916","AZD5363","","AKT1, AKT2, AKT3, ROCK2","Other, kinases","25227436, 42602260","GDSC2","958","SANGER"
"1401","AZD5438","SN1057898678","CDK2","Cell cycle","","GDSC2","717","SANGER"
"1617","AZD5582","GTPL7710, AOB5560","XIAP, cIAP","Apoptosis regulation","49847690","GDSC2","882","SANGER"
"1720","AZD5991","SN1049446612, AZD5991","MCL1","Apoptosis regulation","","GDSC2","713","SANGER"
"2169","AZD6482","AZD 6482, AZD-6482, AK-55409","PI3Kbeta","PI3K/MTOR signaling","44137675","GDSC2","267","SANGER"
"1917","AZD6738","AZD 6738, AZD-6738","ATR","Genome integrity","54761306","GDSC2","958","SANGER"
"1022","AZD7762","AZD-7762, AZD 7762","CHEK1, CHEK2","Cell cycle","11152667","GDSC2","961","SANGER"
"1059","AZD8055","AZD-8055","MTORC1, MTORC2","PI3K/MTOR signaling","25262965","GDSC2","745","SANGER"
"1918","AZD8186","AZD 8186, AZD-8186","PI3Kalpha, PI3Kbeta","PI3K/MTOR signaling","52913813","GDSC2","958","SANGER"
"1803","Acetalax","Oxyphenisatin acetate","","Unclassified","","GDSC2","717","SANGER"
"1804","Acetalax","Oxyphenisatin acetate","","Unclassified","","GDSC2","717","SANGER"
"1032","Afatinib","BIBW2992, Tovok, Gilotrif","EGFR, ERBB2","EGFR signaling","10184653","GDSC2","966","SANGER"
"1912","Afuresertib","GSK2110183, GSK2110183C","AKT1, AKT2, AKT3","PI3K/MTOR signaling","46843057","GDSC2","957","SANGER"
"1051","Alisertib","MLN8237","AURKA","Mitosis","24771867","GDSC2","950","SANGER"
"1560","Alpelisib","BYL719, BYL-719, NVP-BYL719","PI3Kalpha","PI3K/MTOR signaling","56649450","GDSC2","965","SANGER"
"1072","Avagacestat","BMS-708163, BMS 708163","Amyloid beta20, Amyloid beta40","Other","46883536","GDSC2","954","SANGER"
"1021","Axitinib","AG-13736, Inlyta","PDGFR, KIT, VEGFR","RTK signaling","6450551","GDSC2","961","SANGER"
"1585","BDF00022089a","","BRPF1, BRPF2, BRPF3","Chromatin histone acetylation","","GDSC2","717","SANGER"
"1586","BDILV000379a","4-(4-(1-methyl-1H-pyrazol-4-yl)-1-(2-(1-methyl-1H-pyrazol-4-yl)ethyl)-4,5-dihydro-1H-imidazol-5-yl)benzonitrile","BAZ2A, BAZ2B","Chromatin histone acetylation","","GDSC2","717","SANGER"
"1584","BDOCA000347a","4-bromo-N-(6-methoxy-1,3-dimethyl-2-oxo-2,3-dihydro-1H-benzo[d]imidazol-5-yl)-2-methylbenzenesulfonamide","BRPF1, BRPF2, BRPF3","Chromatin histone acetylation","","GDSC2","717","SANGER"
"1866","BDP-00009066","","MRCKB_HUMAN","Cytoskeleton","","GDSC2","743","SANGER"
"1847","BEN","","","Unclassified","","GDSC2","717","SANGER"
"1086","BI-2536","","PLK1, PLK2, PLK3","Cell cycle","11364421","GDSC2","923","SANGER"
"2043","BIBR-1532","","TERT","Genome integrity","9927531","GDSC2","952","SANGER"
"1249","BMS-345541","","IKK-1, IKK-2","Other","9926054","GDSC2","892","SANGER"
"1091","BMS-536924","BMS 536924","IGF1R, IR","IGF1R signaling","10390396","GDSC2","958","SANGER"
"2171","BMS-754807","BMS-754807","IGF1R, IR","IGF1R signaling","","GDSC2","949","SANGER"
"1998","BPD-00008900","","","Other","","GDSC2","743","SANGER"
"1037","BX795","BX-795","TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC","Other, kinases","10077147","GDSC2","225","SANGER"
"1502","Bicalutamide","ICI-176334, Casodex, Cosudex, ICI 176334","AR","Hormone-related","2375","GDSC2","225","SANGER"
"1812","Bleomycin","","dsDNA break induction","DNA replication","","GDSC2","717","SANGER"
"1378","Bleomycin (50 uM)","","dsDNA break induction","DNA replication","5460769","GDSC2","731","SANGER"
"1191","Bortezomib","PS-341, LDP-341, Velcade","Proteasome","Protein stability and degradation","387447","GDSC2","957","SANGER"
"1019","Bosutinib","SKI-606, Bosulif","SRC, ABL, TEC","Other, kinases","5328940","GDSC2","949","SANGER"
"1581","Bromosporine","ethyl N-[6-(3-methanesulfonamido-4-methylphenyl)-3-methyl-[1,2,4]triazolo[4,3-b]pyridazin-8-yl]carbamate","CECR2, BRD2, BRD4, BRD9","Chromatin other","","GDSC2","716","SANGER"
"1873","Buparlisib","BKM120, NVP-BKM120","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma","PI3K/MTOR signaling","66577015, 16654980","GDSC2","958","SANGER"
"1170","CCT-018159","CCT018159, CCT 018159","HSP90","Protein stability and degradation","5327091","GDSC2","225","SANGER"
"1067","CCT007093","","PPM1D","Cell cycle","2314623","GDSC2","938","SANGER"
"1709","CDK9_5038","SN1047483750, CDK9_5038","CDK9","Cell cycle","","GDSC2","716","SANGER"
"1708","CDK9_5576","SN1047226266, CDK9_5576","CDK9","Cell cycle","","GDSC2","716","SANGER"
"2175","CHIR-99021","CT 99021, CHIR99021, CHIR 99021","GSK3A, GSK3B","WNT signaling","9956119","GDSC2","225","SANGER"
"2158","CPI-637","","EP300","Chromatin histone methylation","","GDSC2","741","SANGER"
"2149","CT7033-2","","KDM4A, KDM4C, KDM4E, KDM3A, KDM6B","Chromatin histone methylation","","GDSC2","741","SANGER"
"1615","CZC24832","GTPL6653","PI3Kgamma","PI3K/MTOR signaling","42623951","GDSC2","894","SANGER"
"1003","Camptothecin","Camptothecine, (+)-Camptothecin","TOP1","DNA replication","24360","GDSC2","968","SANGER"
"1807","Carmustine","","","","","GDSC2","717","SANGER"
"1922","Cediranib","AZD2171, AZD 2171, AZD-2171, Recentin","VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB","RTK signaling","9933475","GDSC2","958","SANGER"
"1005","Cisplatin","cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP","DNA crosslinker","DNA replication","84691","GDSC2","760","SANGER"
"1083","Crizotinib","Xalkori, PF2341066, PF-2341066, PF 2341066","MET, ALK, ROS1","RTK signaling","11626560","GDSC2","966","SANGER"
"1512","Cyclophosphamide","Cytoxan, Neosar, Cyclophosphamid, Procytox, Cyclophosphane","Alkylating agent","DNA replication","2907","GDSC2","957","SANGER"
"1006","Cytarabine","Ara-Cytidine, Arabinosyl Cytosine, U-19920","Antimetabolite","Other","6253","GDSC2","743","SANGER"
"1373","Dabrafenib","GSK2118436, Tafinlar","BRAF","ERK MAPK signaling","44462760","GDSC2","954","SANGER"
"1815","Dacarbazine","DTIC","CP11A","Other","","GDSC2","717","SANGER"
"1811","Dactinomycin","Actinomycin D","RNA polymerase","Other","","GDSC2","717","SANGER"
"1911","Dactinomycin","Actinomycin D, Cosmegen, Lyovac, Meractinomycin, Ac-De, ActD","RNA polymerase","Other","several","GDSC2","942","SANGER"
"1057","Dactolisib","NVP-BEZ235, BEZ235","PI3K (class 1), MTORC1, MTORC2","PI3K/MTOR signaling","11977753","GDSC2","958","SANGER"
"1248","Daporinad","APO866,  FK866, FK866","NAMPT","Metabolism","6914657","GDSC2","595","SANGER"
"1079","Dasatinib","BMS-354825-03, BMS-354825, Sprycel","ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases","3062316","GDSC2","962","SANGER"
"1827","Dihydrorotenone","","","Unclassified","","GDSC2","715","SANGER"
"1180","Dinaciclib","SCH727965, SCH 727965, SCH-727-965, MK-7965","CDK1, CDK2, CDK5, CDK9","Cell cycle","46926350","GDSC2","891","SANGER"
"1007","Docetaxel","RP-56976, Taxotere","Microtubule stabiliser","Mitosis","148124","GDSC2","967","SANGER"
"1819","Docetaxel","RP-56976, Taxotere","Microtubule stabiliser","Mitosis","","GDSC2","670","SANGER"
"1042","Doramapimod","BIRB-796, BIRB 796","p38, JNK2","JNK and p38 signaling","156422","GDSC2","955","SANGER"
"1069","EHT-1864","EHT 1864","RAC1, RAC2, RAC3","Cytoskeleton","9938202","GDSC2","943","SANGER"
"1237","EPZ004777","EPZ-004777","DOT1L","Chromatin histone methylation","56962336","GDSC2","965","SANGER"
"1563","EPZ5676","EPZ-5676, Pinometostat","DOT1L","Chromatin histone methylation","57345410","GDSC2","962","SANGER"
"1713","ERK_2440","SN1051032892, ERK_2440","ERK1,ERK2","ERK MAPK signaling","","GDSC2","717","SANGER"
"1714","ERK_6604","SN1047587618, ERK_6604","ERK1,ERK2","ERK MAPK signaling","","GDSC2","717","SANGER"
"1712","Eg5_9814","SN1047613775, Eg5_9814","KSP11","Other","","GDSC2","713","SANGER"
"1835","Elephantin","","","Unclassified","","GDSC2","717","SANGER"
"1031","Elesclomol","STA-4783","HSP90","Protein stability and degradation","300471","GDSC2","225","SANGER"
"1593","Entinostat","MS-275","HDAC1, HDAC3","Chromatin histone acetylation","4261","GDSC2","898","SANGER"
"1630","Entospletinib","GS-9973","SYK","Other, kinases","59473233","GDSC2","894","SANGER"
"1511","Epirubicin","Ellence, Farmorubicin, IMI-28","Anthracycline","DNA replication","41867","GDSC2","958","SANGER"
